invoice_id,invoice_number,supplier_id,po_id,invoice_date,amount,status
I-00001,INV-2026-00001,S013,PO-00001,2026-02-10,19886.51,posted
I-00002,INV-2026-00002,S032,PO-00002,2026-04-17,10147.56,posted
I-00003,INV-2026-00003,S018,PO-00003,2026-04-07,33459.78,posted
I-00004,INV-2026-00004,S040,PO-00004,2026-03-19,16886.53,posted
I-00005,INV-2026-00005,S040,PO-00004,2026-03-23,9768.56,posted
I-00006,INV-2026-00006,S004,PO-00005,2026-03-05,74220.48,posted
I-00007,INV-2026-00007,S080,PO-00006,2026-03-26,33146.98,posted
I-00008,INV-2026-00008,S052,PO-00007,2026-04-20,9740.34,posted
I-00009,INV-2026-00009,S052,PO-00007,2026-04-15,5308.75,posted
I-00010,INV-2026-00010,S003,PO-00008,2026-03-25,8801.6,posted
I-00011,INV-2026-00011,S024,PO-00009,2026-02-15,41332.59,posted
I-00012,INV-2026-00012,S068,PO-00010,2026-02-13,21540.32,posted
I-00013,INV-2026-00013,S024,PO-00011,2026-02-18,25545.14,posted
I-00014,INV-2026-00014,S028,PO-00012,2026-03-29,17570.18,posted
I-00015,INV-2026-00015,S008,PO-00013,2026-04-10,6634.83,posted
I-00016,INV-2026-00016,S034,PO-00014,2026-01-19,20022.12,posted
I-00017,INV-2026-00017,S034,PO-00014,2026-01-13,30783.82,posted
I-00018,INV-2026-00018,S072,PO-00015,2026-03-07,37725.29,posted
I-00019,INV-2026-00019,S016,PO-00016,2026-03-06,31423.61,posted
I-00020,INV-2026-00020,S016,PO-00017,2026-03-10,42822.56,posted
I-00021,INV-2026-00021,S016,PO-00018,2026-03-29,11247.88,posted
I-00022,INV-2026-00022,S054,PO-00019,2026-02-12,106746.84,posted
I-00023,INV-2026-00023,S003,PO-00020,2026-03-27,21524.47,posted
I-00024,INV-2026-00024,S071,PO-00021,2026-02-24,34607.91,posted
I-00025,INV-2026-00025,S066,PO-00022,2026-03-11,45357.0,posted
I-00026,INV-2026-00026,S061,PO-00023,2026-03-03,3994.2,posted
I-00027,INV-2026-00027,S053,PO-00024,2026-01-20,86921.89,posted
I-00028,INV-2026-00028,S028,PO-00025,2026-04-09,27983.29,posted
I-00029,INV-2026-00029,S011,PO-00026,2026-02-28,8188.85,posted
I-00030,INV-2026-00030,S070,PO-00027,2026-02-04,20890.51,posted
I-00031,INV-2026-00031,S069,PO-00028,2026-02-20,181829.55,posted
I-00032,INV-2026-00032,S048,PO-00029,2026-03-03,22761.04,posted
I-00033,INV-2026-00033,S010,PO-00030,2026-04-23,9929.14,posted
I-00034,INV-2026-00034,S059,PO-00031,2026-01-27,23970.26,posted
I-00035,INV-2026-00035,S065,PO-00032,2026-03-02,35233.78,posted
I-00036,INV-2026-00036,S053,PO-00033,2026-02-10,17426.44,posted
I-00037,INV-2026-00037,S035,PO-00034,2026-02-07,17640.4,posted
I-00038,INV-2026-00038,S059,PO-00035,2026-01-28,61497.57,posted
I-00039,INV-2026-00039,S082,PO-00036,2026-03-14,25248.07,posted
I-00040,INV-2026-00040,S082,PO-00036,2026-03-16,22974.97,posted
I-00041,INV-2026-00041,S083,PO-00037,2026-03-15,26792.8,posted
I-00042,INV-2026-00042,S003,PO-00038,2026-03-26,8670.32,posted
I-00043,INV-2026-00043,S003,PO-00038,2026-03-30,16963.54,posted
I-00044,INV-2026-00044,S078,PO-00039,2026-01-24,20136.93,posted
I-00045,INV-2026-00045,S078,PO-00039,2026-02-09,9668.55,posted
I-00046,INV-2026-00046,S030,PO-00040,2026-02-23,19863.32,posted
I-00047,INV-2026-00047,S063,PO-00041,2026-03-20,26713.14,posted
I-00048,INV-2026-00048,S075,PO-00042,2026-02-17,29600.93,posted
I-00049,INV-2026-00049,S067,PO-00043,2026-03-19,75639.41,posted
I-00050,INV-2026-00050,S068,PO-00044,2026-04-15,11890.13,posted
I-00051,INV-2026-00051,S066,PO-00045,2026-03-19,51949.38,posted
I-00052,INV-2026-00052,S078,PO-00046,2026-02-26,86764.61,posted
I-00053,INV-2026-00053,S018,PO-00047,2026-02-10,14767.32,posted
I-00054,INV-2026-00054,S070,PO-00048,2026-03-01,30643.94,posted
I-00055,INV-2026-00055,S006,PO-00049,2026-02-12,32088.88,posted
I-00056,INV-2026-00056,S043,PO-00050,2026-03-19,24015.56,posted
I-00057,INV-2026-00057,S064,PO-00051,2026-02-19,19248.91,posted
I-00058,INV-2026-00058,S072,PO-00052,2026-02-12,13362.24,posted
I-00059,INV-2026-00059,S015,PO-00053,2026-04-25,5719.09,posted
I-00060,INV-2026-00060,S037,PO-00054,2026-01-27,40211.38,posted
I-00061,INV-2026-00061,S014,PO-00055,2026-03-07,2722.3,posted
I-00062,INV-2026-00062,S011,PO-00056,2026-03-06,38437.91,posted
I-00063,INV-2026-00063,S011,PO-00057,2026-02-05,51043.01,posted
I-00064,INV-2026-00064,S020,PO-00058,2026-02-03,8986.03,posted
I-00065,INV-2026-00065,S020,PO-00058,2026-01-26,4069.22,posted
I-00066,INV-2026-00066,S043,PO-00059,2026-03-20,39894.17,posted
I-00067,INV-2026-00067,S006,PO-00060,2026-04-10,44380.14,posted
I-00068,INV-2026-00068,S064,PO-00061,2026-02-08,44415.42,posted
I-00069,INV-2026-00069,S004,PO-00062,2026-03-30,19709.2,posted
I-00070,INV-2026-00070,S014,PO-00063,2026-01-07,34379.63,posted
I-00071,INV-2026-00071,S022,PO-00064,2026-04-19,30999.95,posted
I-00072,INV-2026-00072,S066,PO-00065,2026-03-31,8362.88,posted
I-00073,INV-2026-00073,S066,PO-00065,2026-04-07,6922.98,posted
I-00074,INV-2026-00074,S070,PO-00066,2026-03-14,18609.18,posted
I-00075,INV-2026-00075,S050,PO-00067,2026-03-11,42383.08,posted
I-00076,INV-2026-00076,S084,PO-00068,2026-02-02,18432.2,posted
I-00077,INV-2026-00077,S061,PO-00069,2026-02-19,36880.88,posted
I-00078,INV-2026-00078,S073,PO-00070,2026-02-09,28747.3,posted
I-00079,INV-2026-00079,S074,PO-00071,2026-02-19,22834.48,posted
I-00080,INV-2026-00080,S061,PO-00072,2026-01-19,29150.17,posted
I-00081,INV-2026-00081,S078,PO-00073,2026-03-02,34160.28,posted
I-00082,INV-2026-00082,S036,PO-00074,2026-02-21,28300.94,posted
I-00083,INV-2026-00083,S071,PO-00075,2026-02-20,30585.2,posted
I-00084,INV-2026-00084,S077,PO-00076,2026-02-19,43674.91,posted
I-00085,INV-2026-00085,S023,PO-00077,2026-01-15,23986.97,posted
I-00086,INV-2026-00086,S049,PO-00078,2026-04-10,31278.56,posted
I-00087,INV-2026-00087,S081,PO-00079,2026-04-16,23572.6,posted
I-00088,INV-2026-00088,S080,PO-00080,2026-04-02,35988.97,posted
I-00089,INV-2026-00089,S056,PO-00081,2026-03-08,24878.06,posted
I-00090,INV-2026-00090,S059,PO-00082,2026-04-24,29280.16,posted
I-00091,INV-2026-00091,S059,PO-00082,2026-04-21,15340.3,posted
I-00092,INV-2026-00092,S059,PO-00083,2026-04-06,58825.76,posted
I-00093,INV-2026-00093,S012,PO-00084,2026-02-08,10194.54,posted
I-00094,INV-2026-00094,S012,PO-00085,2026-03-06,72010.51,posted
I-00095,INV-2026-00095,S024,PO-00086,2026-03-01,22113.48,posted
I-00096,INV-2026-00096,S024,PO-00086,2026-02-18,39888.42,posted
I-00097,INV-2026-00097,S014,PO-00087,2026-02-06,15680.3,posted
I-00098,INV-2026-00098,S040,PO-00088,2026-04-06,144696.09,posted
I-00099,INV-2026-00099,S027,PO-00089,2026-02-26,31845.95,posted
I-00100,INV-2026-00100,S032,PO-00090,2026-04-10,39026.17,posted
I-00101,INV-2026-00101,S060,PO-00091,2026-04-16,89065.18,posted
