po_id,created_date,supplier_id,requester_user_id,buyer_user_id,amount,category,status,release_date
PO-00001,2026-01-19,S013,U017,U014,19886.51,Logistics,Released,2026-01-19
PO-00002,2026-03-11,S032,U016,U009,10147.56,Consulting,Released,2026-03-18
PO-00003,2026-03-02,S018,U024,U009,33459.78,Packaging,Released,2026-03-10
PO-00004,2026-02-19,S040,U024,U014,26655.09,Facilities,Released,2026-02-24
PO-00005,2026-02-11,S004,U024,U014,74220.48,Maintenance,Released,2026-02-16
PO-00006,2026-03-17,S080,U017,U009,33146.98,Packaging,Released,2026-03-21
PO-00007,2026-03-24,S052,U016,U009,15049.09,Office supplies,Released,2026-03-28
PO-00008,2026-03-08,S003,U017,U009,8801.6,Maintenance,Released,2026-03-10
PO-00009,2026-02-03,S024,U018,U009,41332.59,Packaging,Released,2026-02-09
PO-00010,2026-01-28,S068,U018,U009,21540.32,Packaging,Released,2026-01-28
PO-00011,2026-01-21,S024,U016,U014,25545.14,Packaging,Released,2026-01-29
PO-00012,2026-03-14,S028,U024,U014,17570.18,Materials,Released,2026-03-23
PO-00013,2026-03-24,S008,U018,U009,6634.83,Materials,Released,2026-03-28
PO-00014,2026-01-02,S034,U018,U009,50805.94,Packaging,Released,2026-01-07
PO-00015,2026-02-10,S072,U024,U014,37725.29,IT,Released,2026-02-18
PO-00016,2026-02-19,S016,U018,U014,31423.61,Facilities,Released,2026-02-21
PO-00017,2026-02-10,S016,U018,U014,42822.56,Facilities,Released,2026-02-16
PO-00018,2026-03-08,S016,U016,U009,11247.88,Facilities,Released,2026-03-14
PO-00019,2026-01-24,S054,U017,U009,106746.84,Maintenance,Released,2026-02-02
PO-00020,2026-02-23,S003,U018,U014,21524.47,Maintenance,Released,2026-02-26
PO-00021,2026-02-13,S071,U016,U014,34607.91,Maintenance,Released,2026-02-20
PO-00022,2026-02-16,S066,U017,U014,45357.0,Consulting,Released,2026-02-22
PO-00023,2026-01-25,S061,U024,U014,3994.2,IT,Released,2026-02-02
PO-00024,2026-01-11,S053,U016,U009,86921.89,Maintenance,Released,2026-01-17
PO-00025,2026-03-15,S028,U024,U014,27983.29,Materials,Released,2026-03-21
PO-00026,2026-02-12,S011,U017,U014,8188.85,Facilities,Released,2026-02-16
PO-00027,2026-01-18,S070,U018,U014,20890.51,Materials,Released,2026-01-19
PO-00028,2026-01-23,S069,U017,U009,181829.55,Consulting,Released,2026-01-28
PO-00029,2026-02-08,S048,U016,U014,22761.04,Consulting,Released,2026-02-13
PO-00030,2026-03-20,S010,U023,U014,9929.14,IT,Released,2026-03-25
PO-00031,2026-01-11,S059,U024,U014,23970.26,Consulting,Released,2026-01-14
PO-00032,2026-02-11,S065,U024,U014,35233.78,Facilities,Released,2026-02-16
PO-00033,2026-01-28,S053,U024,U014,17426.44,Maintenance,Released,2026-02-04
PO-00034,2026-01-19,S035,U023,U014,17640.4,Facilities,Released,2026-01-26
PO-00035,2026-01-03,S059,U023,U014,61497.57,Consulting,Released,2026-01-10
PO-00036,2026-02-24,S082,U024,U009,48223.04,Logistics,Released,2026-03-03
PO-00037,2026-03-02,S083,U024,U014,26792.8,Maintenance,Released,2026-03-04
PO-00038,2026-03-07,S003,U017,U014,25633.86,Maintenance,Released,2026-03-13
PO-00039,2026-01-11,S078,U017,U014,29805.48,Facilities,Released,2026-01-20
PO-00040,2026-02-13,S030,U023,U014,19863.32,Components,Released,2026-02-19
PO-00041,2026-03-03,S063,U017,U009,26713.14,Maintenance,Released,2026-03-08
PO-00042,2026-01-09,S075,U016,U014,29600.93,Facilities,Released,2026-01-18
PO-00043,2026-03-04,S067,U024,U014,75639.41,Facilities,Released,2026-03-11
PO-00044,2026-03-22,S068,U024,U014,11890.13,Packaging,Released,2026-03-27
PO-00045,2026-03-04,S066,U017,U014,51949.38,Consulting,Released,2026-03-10
